Outlier Global Data Science Head,"['https://in.linkedin.com/in/aniket0409', 'https://in.linkedin.com/in/blessan-alex?trk=people-guest_people_search-card']"
Outlier Global RPA Head,"['https://in.linkedin.com/in/brijesh2611', 'https://in.linkedin.com/in/sukritgoel', 'https://in.linkedin.com/in/sta2kuldeep', 'https://in.linkedin.com/in/sabyasachi-kumar-5a423b226', 'https://in.linkedin.com/in/siddharthasingh10']"
Outlier Global DevOps Head,"['https://in.linkedin.com/in/pradeep-kumar-a0703914', 'https://in.linkedin.com/in/raghavarora22', 'https://in.linkedin.com/in/blessan-alex?trk=people-guest_people_search-card', 'https://in.linkedin.com/in/uthra-thillai-natarajan']"
Outlier Global CRM Head,"['https://in.linkedin.com/in/yamini-murthy-562676124', 'https://in.linkedin.com/in/harish-chengaiah-637627a7']"
Outlier Global Software Engineering Head,['https://in.linkedin.com/in/poonam-s-4983231b7']
Outlier Global Plant Head,"['https://in.linkedin.com/jobs/view/operational-specialist-at-outlier-4150336015', 'https://in.linkedin.com/in/rishikesh-jaiwant', 'https://in.linkedin.com/in/jai-prakash-chauhan-a8078a7', 'https://in.linkedin.com/in/selva-rajan-a6715310a', 'https://in.linkedin.com/in/dhinesh-raj-61136734']"
Outlier Global Manufacturing Head,['https://in.linkedin.com/jobs/view/operational-specialist-at-outlier-4150336015']
Outlier Global GBS Head,"['https://in.linkedin.com/in/venkatakrishnan-narayanaswamy-aa99a8a', 'https://in.linkedin.com/in/harinaganathan', 'https://in.linkedin.com/in/anirudh-rathore-b7a93611', 'https://in.linkedin.com/in/ajaysinghbais', 'https://in.linkedin.com/in/mahavirgorti']"
Outlier Global Innovation Head,"['https://in.linkedin.com/in/yaminireddy', 'https://in.linkedin.com/in/poonam-s-4983231b7']"
Outlier Global Application Development Head,"['https://in.linkedin.com/in/poonam-s-4983231b7', 'https://in.linkedin.com/in/dsak8', 'https://in.linkedin.com/in/harish-chengaiah-637627a7', 'https://in.linkedin.com/in/blessan-alex?trk=people-guest_people_search-card', 'https://in.linkedin.com/company/theoutlierpr']"
Outlier Global Offshoring Head,"['https://in.linkedin.com/in/pankaj-gandhi-b5bb43b', 'https://in.linkedin.com/in/dhananjay-gokarn-a7831924', 'https://in.linkedin.com/in/ashok-dhawan', 'https://in.linkedin.com/in/behlkapil', 'https://in.linkedin.com/in/namitaanup']"
Outlier Global ESG Head,['https://in.linkedin.com/in/anurag-mangla-18912514']
Fortinet Global GCC Head,"['https://in.linkedin.com/in/kalyankadirvelu', 'https://in.linkedin.com/in/binu-ninan-a106076', 'https://in.linkedin.com/in/pallavi-vishnoi-86301023', 'https://in.linkedin.com/in/naganandini-sridhar', 'https://in.linkedin.com/posts/deendayalnaidu_looking-forward-to-this-event-activity-6975026110245847040-IFby?trk=public_profile_like_view']"
Fortinet Global GIC Head,[]
Fortinet Global Global Development Centre Head,"['https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/anand-nayak-2094393', 'https://in.linkedin.com/in/sandeep-raman2019']"
Fortinet Global Country Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/kishore-reddy-88a6b31']"
Fortinet Global Site Head,['https://in.linkedin.com/in/vivek-srivastava-cybersecurity']
Fortinet Global Centre Head,"['https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/sandeep-raman2019', 'https://in.linkedin.com/in/naganandini-sridhar', 'https://in.linkedin.com/in/kapil-gupta-5a715835']"
Fortinet Global CTO,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/kishore-reddy-88a6b31']"
Fortinet Global CIO,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/kishore-reddy-88a6b31']"
Fortinet Global HR Head,"['https://in.linkedin.com/in/sunilmaddika', 'https://in.linkedin.com/in/vivek-srivastava-cybersecurity']"
Fortinet Global Chief Marketing Officer,"['https://in.linkedin.com/in/jessica-dcruz-8b82641b', 'https://in.linkedin.com/in/richasingh13']"
Fortinet Global Talent Acquistion Head,"['https://in.linkedin.com/in/sunilmaddika', 'https://in.linkedin.com/in/pallavi-vishnoi-86301023', 'https://in.linkedin.com/in/divya-munikrishnappa-3785b2129', 'https://in.linkedin.com/in/smitha-alva-a90b2a4']"
Fortinet Global Offshoring Head,"['https://in.linkedin.com/in/arshad-mumtaz-30b4094', 'https://in.linkedin.com/in/moncy-george-1bb3528']"
Fortinet Global IT Commercial Head,"['https://in.linkedin.com/in/binu-ninan-a106076', 'https://in.linkedin.com/in/rohit-sobti-a2000012', 'https://in.linkedin.com/in/rakesh-patil-7067757', 'https://in.linkedin.com/in/abhinav-raj-85760b13']"
Fortinet Global IT Services Procurement Head,"['https://in.linkedin.com/in/sagar-sawant-91a27643', 'https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/manjunath-gp-903116147', 'https://in.linkedin.com/in/suraj-prasad-b66a8122', 'https://in.linkedin.com/in/syedhyder']"
Fortinet Global Indirect Procurement Head,"['https://in.linkedin.com/in/suraj-prasad-b66a8122', 'https://in.linkedin.com/in/kartikey-rai-b42aa22a']"
Fortinet Global Strategic Sourcing Head,"['https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/smitha-alva-a90b2a4']"
Fortinet Global Vendor Management Head,"['https://in.linkedin.com/in/sagar-sawant-91a27643', 'https://in.linkedin.com/in/rohit-sobti-a2000012', 'https://in.linkedin.com/in/smitha-alva-a90b2a4']"
Fortinet Global Workforce Strategy Head,"['https://in.linkedin.com/in/sunilmaddika', 'https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/kishore-reddy-88a6b31']"
Fortinet Global Contigency Hiring Head,"['https://in.linkedin.com/in/manish-badlani', 'https://in.linkedin.com/in/abhi-bhalla-aa333241', 'https://in.linkedin.com/in/narayan-sharma-3a1bb1', 'https://in.linkedin.com/in/avinashprasad']"
Fortinet Global Contractual Staffing Head,['https://in.linkedin.com/in/sagar-sawant-91a27643']
Fortinet Global Staff Augmentation Head,"['https://in.linkedin.com/in/utkarshbashte', 'https://in.linkedin.com/in/sunithagovindaiah', 'https://in.linkedin.com/in/gunashekar-srinivasan-2a338831', 'https://in.linkedin.com/in/lalit-sharma-85315616']"
Fortinet Global Technical T&M Hiring Head,"['https://in.linkedin.com/jobs/global-director-jobs', 'https://in.linkedin.com/in/tapaskumardutta', 'https://in.linkedin.com/in/naresh-kumar-a08b6810b', 'https://in.linkedin.com/jobs/view/sr-network-engineer-implementation-at-eci-3949487298', 'https://in.linkedin.com/company/raygain']"
Fortinet Global Shared Services Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/sandeep-raman2019', 'https://in.linkedin.com/in/binu-george-0b4a95b', 'https://in.linkedin.com/in/sagar-sawant-91a27643']"
Fortinet Global Chief Administrative Officer,[]
Fortinet Global Digital Transformation Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/tatikondasantosh', 'https://in.linkedin.com/in/nitin-sirohi-5168539', 'https://in.linkedin.com/in/kishore-reddy-88a6b31']"
Fortinet Global Enterprise IT Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/rohit-sobti-a2000012', 'https://in.linkedin.com/in/manish-badlani', 'https://in.linkedin.com/in/rajeev-saxena-8275aa146']"
Fortinet Global IT Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/manish-badlani', 'https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/nitin-sirohi-5168539', 'https://in.linkedin.com/in/abhishekdaz']"
Fortinet Global Engineering Head,"['https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/sameer-advani-2955b68', 'https://in.linkedin.com/in/sunilmaddika']"
Fortinet Global Delivery Head,"['https://in.linkedin.com/in/sandeep-raman2019', 'https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/mehul-tiwari', 'https://in.linkedin.com/in/ramanan-chidambaram-45103915']"
Fortinet Global Program Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/mehul-tiwari']"
Fortinet Global Data Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/nitin-gupta-06290714']"
Fortinet Global Data Centre Head,"['https://in.linkedin.com/in/anand-nayak-2094393', 'https://in.linkedin.com/in/rakesh-patil-7067757', 'https://in.linkedin.com/in/nitin-gupta-06290714']"
Fortinet Global Supply Chain Head,[]
Fortinet Global Supply Chain IT Head,[]
Fortinet Global Testing Head,"['https://in.linkedin.com/in/pradeep-gurav-9b938218', 'https://in.linkedin.com/in/premnithin', 'https://in.linkedin.com/in/manish-badlani']"
Fortinet Global QA Head,[]
Fortinet Global Automation Head,"['https://in.linkedin.com/in/sunilmaddika', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/sandeep-raman2019', 'https://in.linkedin.com/in/nitin-gupta-06290714']"
Fortinet Global MES Head,[]
Fortinet Global IDES Head,"['https://in.linkedin.com/in/rohit-kumar-5251a1153', 'https://in.linkedin.com/in/abhijith-a-2020']"
Fortinet Global PLM Head,"['https://in.linkedin.com/in/sagar-dhavade-4718064b', 'https://in.linkedin.com/in/rakshith-kumar-1a871362', 'https://in.linkedin.com/in/rajesh-yadav-8b0527a', 'https://in.linkedin.com/in/dnyaneshwar-burkul-41049742', 'https://in.linkedin.com/in/saurabh-banerjee-2a590516']"
Fortinet Global Industry 4.0 Head,"['https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/nitin-sirohi-5168539', 'https://in.linkedin.com/in/ramanan-chidambaram-45103915']"
Fortinet Global Cloud Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/nitin-sirohi-5168539']"
Fortinet Global IT Infra Head,"['https://in.linkedin.com/in/manish-badlani', 'https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/binu-george-0b4a95b', 'https://in.linkedin.com/in/amit-kumar-jain-94435aa']"
Fortinet Global ERP Head,"['https://in.linkedin.com/in/manish-badlani', 'https://in.linkedin.com/in/premnithin', 'https://in.linkedin.com/in/rohit-sobti-a2000012', 'https://in.linkedin.com/in/sonikarastogi', 'https://in.linkedin.com/in/naganandini-sridhar']"
Fortinet Global SAP Head,['https://in.linkedin.com/in/sagar-sawant-91a27643']
Fortinet Global Database Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz']"
Fortinet Global Digital Workplace Head,"['https://in.linkedin.com/in/abhinav-raj-85760b13', 'https://in.linkedin.com/in/ramanan-chidambaram-45103915', 'https://in.linkedin.com/in/kapil-gupta-5a715835', 'https://in.linkedin.com/in/rohit-sobti-a2000012']"
Fortinet Global ServiceNow Head,"['https://in.linkedin.com/in/gunjanbhambhe', 'https://in.linkedin.com/in/shaik-khadar-vali-950a5414', 'https://in.linkedin.com/in/sandeep-juvale-92107237', 'https://in.linkedin.com/in/abhinav-raj-85760b13', 'https://in.linkedin.com/in/sridhar-poornachandran-771b054b']"
Fortinet Global Cybersecurity Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/kapil-gupta-5a715835']"
Fortinet Global Customer Experience Head,['https://in.linkedin.com/in/sandeep-raman2019']
Fortinet Global GenAI Head,[]
Fortinet Global Analytics Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/nitin-sirohi-5168539']"
Fortinet Global Data Science Head,"['https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz']"
Fortinet Global RPA Head,"['https://in.linkedin.com/in/manish-badlani', 'https://in.linkedin.com/in/mayurmulay', 'https://in.linkedin.com/in/pallavi-vishnoi-86301023', 'https://in.linkedin.com/in/amey-mhasalkar-54a6b726', 'https://in.linkedin.com/in/simran-kothari-85414617b']"
Fortinet Global DevOps Head,"['https://in.linkedin.com/in/pradeep-gurav-9b938218', 'https://in.linkedin.com/in/mehul-tiwari', 'https://in.linkedin.com/in/anuradha-krishnan-7549b8340', 'https://in.linkedin.com/in/kalyankadirvelu']"
Fortinet Global CRM Head,"['https://in.linkedin.com/in/mehul-tiwari', 'https://in.linkedin.com/in/sainjelo-james-pmp-9abb1b16', 'https://in.linkedin.com/in/sajidlinkedin', 'https://in.linkedin.com/in/abhinav-raj-85760b13', 'https://in.linkedin.com/in/sonikarastogi']"
Fortinet Global Software Engineering Head,"['https://in.linkedin.com/in/pradeep-gurav-9b938218', 'https://in.linkedin.com/in/subrahmanyam-bhamidipati-28409418', 'https://in.linkedin.com/in/mohan-jayaraman-400b1361', 'https://in.linkedin.com/in/pradheepmohan', 'https://in.linkedin.com/in/kishore-reddy-88a6b31']"
Fortinet Global Plant Head,"['https://in.linkedin.com/in/jaimi-joseph-p-4a202535', 'https://in.linkedin.com/in/kapil-gupta-5a715835', 'https://in.linkedin.com/in/sainjelo-james-pmp-9abb1b16', 'https://in.linkedin.com/in/jaimi-joseph-p-4a202535', 'https://in.linkedin.com/in/manojvi']"
Fortinet Global Manufacturing Head,"['https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/abhishekdaz', 'https://in.linkedin.com/in/anuradha-krishnan-7549b8340']"
Fortinet Global GBS Head,"['https://in.linkedin.com/in/pallavi-vishnoi-86301023', 'https://in.linkedin.com/in/preetham-solomon-7637ba1a', 'https://in.linkedin.com/in/devipsingh']"
Fortinet Global Innovation Head,"['https://in.linkedin.com/in/kishore-reddy-88a6b31', 'https://in.linkedin.com/in/vivek-srivastava-cybersecurity', 'https://in.linkedin.com/in/nitin-sirohi-5168539', 'https://in.linkedin.com/in/anuradha-krishnan-7549b8340']"
Fortinet Global Application Development Head,"['https://in.linkedin.com/in/sunilmaddika', 'https://in.linkedin.com/in/subrahmanyam-bhamidipati-28409418', 'https://in.linkedin.com/in/pradeep-gurav-9b938218']"
Fortinet Global Offshoring Head,"['https://in.linkedin.com/in/arshad-mumtaz-30b4094', 'https://in.linkedin.com/in/moncy-george-1bb3528']"
Fortinet Global ESG Head,[]
Kennametal Global GCC Head,"['https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/chandra-mohan-madugula-pmp-csm-9698b06', 'https://in.linkedin.com/in/gopaljimehrotra', 'https://in.linkedin.com/in/gopichandgurada', 'https://in.linkedin.com/in/madhu-purushothama-reddy-a96a9b38']"
Kennametal Global GIC Head,"['https://in.linkedin.com/in/riteshrathore', 'https://in.linkedin.com/in/rajesh-varadarajan-82177330', 'https://in.linkedin.com/in/sachin-gupta-729b3519', 'https://in.linkedin.com/in/suresh-babu-2755b613', 'https://in.linkedin.com/in/jacob-george-57115a65']"
Kennametal Global Global Development Centre Head,"['https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/knowledge-center', 'https://in.linkedin.com/in/rajashekarvenkat824525b', 'https://in.linkedin.com/in/srikanth-g-96a55b52']"
Kennametal Global Country Head,"['https://in.linkedin.com/in/srikanth-g-96a55b52', 'https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/dibesh-singh-deo-3342a712', 'https://in.linkedin.com/in/anupriya-garg-b1648514', 'https://in.linkedin.com/in/umanath-thangavelu-127837251']"
Kennametal Global Site Head,[]
Kennametal Global Centre Head,"['https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/srikanth-g-96a55b52', 'https://in.linkedin.com/in/knowledge-center', 'https://in.linkedin.com/company/kennametal-shared-services-private-ltd-', 'https://in.linkedin.com/in/chandra-mohan-madugula-pmp-csm-9698b06']"
Kennametal Global CTO,"['https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/sainath-da-55b65118', 'https://in.linkedin.com/in/suresh-reddy-0927668']"
Kennametal Global CIO,"['https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/company/kennametal/', 'https://in.linkedin.com/in/gowtham-ta-011b5388']"
Kennametal Global HR Head,"['https://in.linkedin.com/in/dibesh-singh-deo-3342a712', 'https://in.linkedin.com/in/manu-kidave-5132726', 'https://in.linkedin.com/in/karishmamahanti', 'https://in.linkedin.com/in/nisha-sharma-b5549760', 'https://in.linkedin.com/in/anitha-devi-s-k-6260144a']"
Kennametal Global Chief Marketing Officer,"['https://in.linkedin.com/in/swastika-mukherjee', 'https://in.linkedin.com/in/sharon-digitalmarketing']"
Kennametal Global Talent Acquistion Head,"['https://in.linkedin.com/in/shasangka-sinha-4274647', 'https://in.linkedin.com/in/manu-kidave-5132726', 'https://in.linkedin.com/in/nisha-sharma-b5549760', 'https://in.linkedin.com/in/rajani-bai-35b3a3257', 'https://in.linkedin.com/in/dibesh-singh-deo-3342a712']"
Kennametal Global Offshoring Head,"['https://in.linkedin.com/in/prakashan-manikoth', 'https://in.linkedin.com/in/rohit-chadha-51641840', 'https://in.linkedin.com/in/thanga-jawahar-kalidoss-312b6523', 'https://in.linkedin.com/in/chandrashekar-jayaraman-01a512a8', 'https://in.linkedin.com/in/pavandesai']"
Kennametal Global IT Commercial Head,"['https://in.linkedin.com/in/prashant-shetty-260aa47', 'https://in.linkedin.com/company/kennametal/', 'https://in.linkedin.com/in/naveen-chandra-113851a']"
Kennametal Global IT Services Procurement Head,"['https://in.linkedin.com/in/shreyas-chandrashekhara-6250a61a3', 'https://in.linkedin.com/in/emagirivasan-uthamaseelan-25a94752', 'https://in.linkedin.com/in/umanath-thangavelu-127837251', 'https://in.linkedin.com/in/ranganath-rao-42607863', 'https://in.linkedin.com/in/uday-hegde-3302b22a']"
Kennametal Global Indirect Procurement Head,"['https://in.linkedin.com/in/uday-hegde-3302b22a', 'https://in.linkedin.com/in/emagirivasan-uthamaseelan-25a94752', 'https://in.linkedin.com/in/ranganath-rao-42607863', 'https://in.linkedin.com/in/akshay-kulkarni-bb251473']"
Kennametal Global Strategic Sourcing Head,"['https://in.linkedin.com/in/shreyas-chandrashekhara-6250a61a3', 'https://in.linkedin.com/in/umanath-thangavelu-127837251', 'https://in.linkedin.com/in/emagirivasan-uthamaseelan-25a94752', 'https://in.linkedin.com/in/uday-hegde-3302b22a']"
Kennametal Global Vendor Management Head,"['https://in.linkedin.com/in/kannan-s-92839611', 'https://in.linkedin.com/in/umanath-thangavelu-127837251', 'https://in.linkedin.com/in/uday-hegde-3302b22a', 'https://in.linkedin.com/in/ranganath-rao-42607863', 'https://in.linkedin.com/in/srikanth-g-96a55b52']"
Kennametal Global Workforce Strategy Head,"['https://in.linkedin.com/in/dibesh-singh-deo-3342a712', 'https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/chandanengineer']"
Kennametal Global Contigency Hiring Head,"['https://in.linkedin.com/in/akshay-kabra-13051991', 'https://in.linkedin.com/in/abhisheksaha1', 'https://in.linkedin.com/in/hari-prasath-2557497a']"
Kennametal Global Contractual Staffing Head,"['https://in.linkedin.com/in/dibesh-singh-deo-3342a712', 'https://in.linkedin.com/in/anupriya-garg-b1648514', 'https://in.linkedin.com/in/uday-hegde-3302b22a', 'https://in.linkedin.com/in/srikanth-g-96a55b52', 'https://in.linkedin.com/in/shashikant-rao-07a6601b']"
Kennametal Global Staff Augmentation Head,"['https://in.linkedin.com/in/manojrbhagat', 'https://in.linkedin.com/in/fernsdonald', 'https://in.linkedin.com/in/aarti-singh-130a9a201', 'https://in.linkedin.com/jobs/view/it-business-development-manager-at-nexcen-global-inc-4147977098', 'https://in.linkedin.com/in/sumanthsv']"
Kennametal Global Technical T&M Hiring Head,"['https://in.linkedin.com/in/arindam-majumdar-4841585', 'https://in.linkedin.com/jobs/view/deputy-general-manager-direct-tax-at-pilot-industries-ltd-4111644596', 'https://in.linkedin.com/in/chanchal-bhardwaj-52569690', 'https://in.linkedin.com/in/shruti-raikar', 'https://in.linkedin.com/in/nilima-gole-8a190044']"
Kennametal Global Shared Services Head,"['https://in.linkedin.com/in/gopal-narasimha-30227517', 'https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/company/kennametal-shared-services-private-ltd-', 'https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/karishmamahanti']"
Kennametal Global Chief Administrative Officer,['https://in.linkedin.com/in/suresh-reddy-0927668']
Kennametal Global Digital Transformation Head,"['https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/gowtham-ta-011b5388', 'https://in.linkedin.com/in/nagendradevineni']"
Kennametal Global Enterprise IT Head,"['https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/nagendradevineni', 'https://in.linkedin.com/in/vinod-ks-63852a17', 'https://in.linkedin.com/in/gowtham-ta-2612a81a2', 'https://in.linkedin.com/in/dipu-pillai']"
Kennametal Global IT Head,"['https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/nagendradevineni', 'https://in.linkedin.com/in/gowtham-ta-2612a81a2', 'https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/gowtham-ta-011b5388']"
Kennametal Global Engineering Head,"['https://in.linkedin.com/in/kumarappa-jayanna-53982241', 'https://in.linkedin.com/in/vinaypratapsingh', 'https://in.linkedin.com/in/sreekanth-s-1704153b']"
Kennametal Global Delivery Head,"['https://in.linkedin.com/in/shasangka-sinha-4274647', 'https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/raja-shanmugasundaram-4ba54b154', 'https://in.linkedin.com/in/srikanth-g-96a55b52']"
Kennametal Global Program Head,"['https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/naveen-kumar-krishnappa-ab19b71b', 'https://in.linkedin.com/in/umanath-thangavelu-127837251']"
Kennametal Global Data Head,"['https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/anupriya-garg-b1648514', 'https://in.linkedin.com/in/ankitsawa', 'https://in.linkedin.com/in/manu-kidave-5132726']"
Kennametal Global Data Centre Head,"['https://in.linkedin.com/in/vinod-ks-63852a17', 'https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/dibesh-singh-deo-3342a712', 'https://in.linkedin.com/in/srikanth-g-96a55b52']"
Kennametal Global Supply Chain Head,['https://in.linkedin.com/in/kannan-s-92839611']
Kennametal Global Supply Chain IT Head,"['https://in.linkedin.com/in/kannan-s-92839611', 'https://in.linkedin.com/in/nagendradevineni', 'https://in.linkedin.com/in/uday-hegde-3302b22a', 'https://in.linkedin.com/in/emagirivasan-uthamaseelan-25a94752']"
Kennametal Global Testing Head,"['https://in.linkedin.com/in/prabin-a-6a88b593', 'https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/knowledge-center', 'https://in.linkedin.com/in/raghavendra-s-81109536']"
Kennametal Global QA Head,"['https://in.linkedin.com/in/pradeepkumargopal', 'https://in.linkedin.com/in/ramesh-gm-abaa2467', 'https://in.linkedin.com/in/naveen-gowda-a7266864', 'https://in.linkedin.com/in/madhavan-j', 'https://in.linkedin.com/in/rengarajan-raghavan-747b0a1b']"
Kennametal Global Automation Head,"['https://in.linkedin.com/in/raghavendra-s-81109536', 'https://in.linkedin.com/in/sreekanth-s-1704153b', 'https://in.linkedin.com/in/shankar-hs', 'https://in.linkedin.com/in/srikanth-g-96a55b52', 'https://in.linkedin.com/in/naveen-gowda-a7266864']"
Kennametal Global MES Head,[]
Kennametal Global IDES Head,"['https://in.linkedin.com/in/shashidhar-hiremath-06bb49ab', 'https://in.linkedin.com/jobs/hiring-for-production-planning-engineer-jobs-pune', 'https://in.linkedin.com/jobs/view/tech-manager-at-tech-mahindra-4085651984', 'https://in.linkedin.com/in/imran-mansoori-485160203', 'https://in.linkedin.com/in/shashidhar-hiremath-06bb49ab']"
Kennametal Global PLM Head,"['https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/shivaprakash-ms-0514', 'https://in.linkedin.com/in/gopal-narasimha-30227517', 'https://in.linkedin.com/in/raja-shanmugasundaram-4ba54b154', 'https://in.linkedin.com/in/shashidhar-hiremath-b56ba015']"
Kennametal Global Industry 4.0 Head,"['https://in.linkedin.com/in/raghavendra-s-81109536', 'https://in.linkedin.com/in/naveen-gowda-a7266864', 'https://in.linkedin.com/in/chandanengineer', 'https://in.linkedin.com/in/chandra-mohan-madugula-pmp-csm-9698b06', 'https://in.linkedin.com/in/manu-kidave-5132726']"
Kennametal Global Cloud Head,"['https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/raghavendra-s-81109536', 'https://in.linkedin.com/in/chandra-mohan-madugula-pmp-csm-9698b06', 'https://in.linkedin.com/in/nagendradevineni', 'https://in.linkedin.com/in/gopal-narasimha-30227517']"
Kennametal Global IT Infra Head,"['https://in.linkedin.com/in/dipu-pillai', 'https://in.linkedin.com/in/vinod-ks-63852a17', 'https://in.linkedin.com/in/chandanengineer', 'https://in.linkedin.com/in/swastika-mukherjee', 'https://in.linkedin.com/in/fernsdonald']"
Kennametal Global ERP Head,"['https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/nagendradevineni', 'https://in.linkedin.com/in/gopal-narasimha-30227517', 'https://in.linkedin.com/in/chandra-mohan-madugula-pmp-csm-9698b06', 'https://in.linkedin.com/in/srinath-sastry-958302a']"
Kennametal Global SAP Head,"['https://in.linkedin.com/in/gopal-narasimha-30227517', 'https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/nagendradevineni', 'https://in.linkedin.com/in/srinath-sastry-958302a', 'https://in.linkedin.com/in/shashikant-rao-07a6601b']"
Kennametal Global Database Head,"['https://in.linkedin.com/in/brundhabhan-m-s-6920b215', 'https://in.linkedin.com/in/nandakumar-c-731544a', 'https://in.linkedin.com/in/raghavendra-s-81109536', 'https://in.linkedin.com/in/anupriya-garg-b1648514', 'https://in.linkedin.com/in/dibesh-singh-deo-3342a712']"
Kennametal Global Digital Workplace Head,"['https://in.linkedin.com/in/dibesh-singh-deo-3342a712', 'https://in.linkedin.com/in/manu-kidave-5132726', 'https://in.linkedin.com/in/shasangka-sinha-4274647', 'https://in.linkedin.com/in/gopal-narasimha-30227517', 'https://in.linkedin.com/in/sadiksaheb-badiger-59ba3871']"
Kennametal Global ServiceNow Head,"['https://in.linkedin.com/in/chandra-mohan-madugula-pmp-csm-9698b06', 'https://in.linkedin.com/in/suresh-reddy-0927668', 'https://in.linkedin.com/in/raja-shanmugasundaram-4ba54b154', 'https://in.linkedin.com/in/premkumar08', 'https://in.linkedin.com/in/hemanth-marur-678383196']"
