Hyundai MOBIS Global Workforce Strategy Head,"['https://in.linkedin.com/in/janardhan-reddy-dubba-02b12121a', 'https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/gopi-krishna-p-b7394137', 'https://in.linkedin.com/in/devender-singh-4628752b']"
Hyundai MOBIS Global Contigency Hiring Head,"['https://in.linkedin.com/in/ragul-aravind-5082a9bb', 'https://in.linkedin.com/in/vignesh-ramasubramanian-123443171', 'https://in.linkedin.com/in/kartik-thapliyal-46b99233', 'https://in.linkedin.com/in/rajeshkumar-n-69159bb7/es?trk=people-guest_people_search-card']"
Hyundai MOBIS Global Contractual Staffing Head,"['https://in.linkedin.com/in/gopi-krishna-p-b7394137', 'https://in.linkedin.com/in/janardhan-reddy-dubba-02b12121a', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/radhey-shyam-gupta-74963147', 'https://in.linkedin.com/in/amith-halageri-6b128016']"
Hyundai MOBIS Global Staff Augmentation Head,"['https://in.linkedin.com/in/arvindthomas', 'https://in.linkedin.com/in/swati-matta-98906619', 'https://in.linkedin.com/in/mahesh-vadla-1b3b8472', 'https://in.linkedin.com/in/lokesh-gaur-42558630', 'https://in.linkedin.com/in/sowjanya-bezawada-7710781ab']"
Hyundai MOBIS Global Technical T&M Hiring Head,"['https://in.linkedin.com/in/r-venkatesh-323577243', 'https://in.linkedin.com/in/neeraj-mathur-7a12b124']"
Hyundai MOBIS Global Shared Services Head,"['https://in.linkedin.com/in/sarvesh-shukla-bb82ba18', 'https://in.linkedin.com/in/radhey-shyam-gupta-74963147', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/edward-cho-ba5228130', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137']"
Hyundai MOBIS Global Chief Administrative Officer,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/company/hyundai-mobis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/in/radhey-shyam-gupta-74963147', 'https://in.linkedin.com/company/hyundaimobismiddleeast?trk=ppro_cprof', 'https://in.linkedin.com/in/balaji-b-a5215019']"
Hyundai MOBIS Global Digital Transformation Head,"['https://in.linkedin.com/in/harshmeetkaur', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gaurav-mittal-26a3298']"
Hyundai MOBIS Global Enterprise IT Head,"['https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/upasana-tiwari-44250228', 'https://in.linkedin.com/company/hyundaimobisin']"
Hyundai MOBIS Global IT Head,"['https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/abdul-samad-5ba42515']"
Hyundai MOBIS Global Engineering Head,"['https://in.linkedin.com/in/ganesh-krishnamoorthy-a16b4515', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715', 'https://in.linkedin.com/in/abdul-wahab-129b7219', 'https://in.linkedin.com/in/varunraja-raja-4900046']"
Hyundai MOBIS Global Delivery Head,"['https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/radhey-shyam-gupta-74963147', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/balaji-b-a5215019']"
