Vistex Global ESG Head,[]
Hyundai MOBIS Global Cybersecurity Head,"['https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/janardhan-raju-47aa28ba', 'https://in.linkedin.com/in/gopala-krishna-02282584']"
Hyundai MOBIS Global Customer Experience Head,"['https://in.linkedin.com/in/sarvesh-shukla-bb82ba18', 'https://in.linkedin.com/in/upasana-tiwari-44250228', 'https://in.linkedin.com/in/edward-cho-ba5228130', 'https://in.linkedin.com/in/radhey-shyam-gupta-74963147', 'https://in.linkedin.com/in/mishail-gupta-502051106']"
Hyundai MOBIS Global GenAI Head,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/mallikarjuna-reddy-pallavali-86886512?trk=people_directory', 'https://in.linkedin.com/in/umangsharmaofficial', 'https://in.linkedin.com/in/chandra-kiran-kasula-5a795a113']"
Hyundai MOBIS Global Analytics Head,"['https://in.linkedin.com/in/sachin-batra-447157137', 'https://in.linkedin.com/in/upasana-tiwari-44250228', 'https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/gopala-krishna-02282584', 'https://in.linkedin.com/in/sarvesh-shukla-bb82ba18']"
Hyundai MOBIS Global Data Science Head,"['https://in.linkedin.com/in/sachin-batra-447157137', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/upasana-tiwari-44250228', 'https://in.linkedin.com/in/hameed-shannu-383644284', 'https://in.linkedin.com/in/umangsharmaofficial']"
Hyundai MOBIS Global Data Science Head,"['https://in.linkedin.com/in/sachin-batra-447157137', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/upasana-tiwari-44250228', 'https://in.linkedin.com/in/hameed-shannu-383644284', 'https://in.linkedin.com/in/umangsharmaofficial']"
Hyundai MOBIS Global RPA Head,"['https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/prem-sai-00ab2322', 'https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/gaurav-shankar-a0734621', 'https://in.linkedin.com/in/gopi-krishna-p-b7394137']"
Hyundai MOBIS Global DevOps Head,"['https://in.linkedin.com/in/khasim-durgam-3207a26', 'https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715', 'https://in.linkedin.com/in/skkings', 'https://in.linkedin.com/in/gopala-krishna-02282584']"
Hyundai MOBIS Global CRM Head,"['https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/bala-venkat-4646bba3', 'https://in.linkedin.com/in/bhumeshmishra', 'https://in.linkedin.com/in/pulkit-dua-963a7783', 'https://in.linkedin.com/in/sivaram-s-54b393179']"
Hyundai MOBIS Global Software Engineering Head,"['https://in.linkedin.com/in/siva-tukaram-sravanam-91893b144', 'https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/linga-reddy-kottam-54b9a718a', 'https://in.linkedin.com/in/shoebmohammadk']"
Hyundai MOBIS Global Plant Head,"['https://in.linkedin.com/in/skkings', 'https://in.linkedin.com/in/edward-cho-ba5228130', 'https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/balakrishnan-p-3a048536']"
Hyundai MOBIS Global Manufacturing Head,"['https://in.linkedin.com/in/edward-cho-ba5228130', 'https://in.linkedin.com/in/balakrishnan-p-3a048536', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/abdul-wahab-129b7219']"
Hyundai MOBIS Global GBS Head,"['https://in.linkedin.com/in/mehar-srinivas-c-37735b50', 'https://in.linkedin.com/in/ashishvi', 'https://in.linkedin.com/in/amar-kumar-singh-10178328', 'https://in.linkedin.com/in/balaji-gopalsamy-18a95724', 'https://in.linkedin.com/in/pulkit-dua-963a7783']"
